Date,Is_Weekend,Is_Festival,Checkpoint,Weather,Temperature_C,Time_Slot,Crowd_Density
2025-09-06,1,0,Bindu Sagar,Clear,29,09:00,166
2025-12-01,0,0,Bindu Sagar,Rainy,32,18:00,85
2025-11-08,1,0,Rajarani Temple,Rainy,31,18:00,148
2025-08-13,0,0,Lingaraj Temple,Rainy,39,09:00,5
2025-01-27,0,0,Parsurameswara Temple,Clear,33,06:00,103
2025-07-14,0,0,Bindu Sagar,Clear,32,09:00,99
2025-12-14,1,0,Lingaraj Temple,Cloudy,22,18:00,240
2025-01-10,0,0,Mukteswar Temple,Humid,40,09:00,59
2025-11-07,0,0,Bindu Sagar,Rainy,26,15:00,5
2025-06-16,0,0,Bindu Sagar,Rainy,28,12:00,5
2025-02-28,0,0,Bindu Sagar,Rainy,24,12:00,6
2025-01-01,0,0,Rajarani Temple,Cloudy,36,12:00,81
2025-10-15,0,0,Lingaraj Temple,Cloudy,24,15:00,40
2025-03-04,0,0,Mukteswar Temple,Clear,27,09:00,52
2025-08-23,1,0,Parsurameswara Temple,Clear,36,12:00,135
2025-08-03,1,0,Lingaraj Temple,Rainy,29,18:00,144
2025-03-03,0,0,Bindu Sagar,Humid,22,15:00,81
2025-05-21,0,1,Rajarani Temple,Cloudy,28,12:00,315
2025-07-19,1,0,Bindu Sagar,Cloudy,22,15:00,94
2025-04-25,0,0,Lingaraj Temple,Cloudy,37,06:00,72
2025-04-20,1,0,Mukteswar Temple,Cloudy,39,12:00,135
2025-02-26,0,0,Bindu Sagar,Humid,37,12:00,38
2025-05-19,0,0,Rajarani Temple,Rainy,40,06:00,22
2025-12-07,1,0,Mukteswar Temple,Cloudy,33,06:00,147
2025-03-08,1,0,Mukteswar Temple,Humid,22,18:00,174
2025-11-04,0,0,Parsurameswara Temple,Rainy,39,06:00,25
2025-02-19,0,0,Parsurameswara Temple,Rainy,36,12:00,5
2025-07-08,0,0,Rajarani Temple,Humid,28,06:00,113
2025-03-31,0,0,Lingaraj Temple,Humid,38,18:00,33
2025-04-02,0,0,Bindu Sagar,Humid,22,12:00,20
2025-07-18,0,0,Bindu Sagar,Rainy,40,15:00,5
2025-02-09,1,0,Bindu Sagar,Cloudy,23,12:00,180
2025-08-17,1,0,Parsurameswara Temple,Clear,31,09:00,200
2025-11-28,0,0,Mukteswar Temple,Cloudy,34,09:00,88
2025-11-10,0,0,Lingaraj Temple,Humid,40,09:00,61
2025-11-04,0,0,Lingaraj Temple,Humid,30,18:00,83
2025-07-25,0,0,Parsurameswara Temple,Cloudy,27,15:00,75
2026-01-01,0,0,Lingaraj Temple,Clear,25,06:00,132
2025-07-20,1,0,Rajarani Temple,Humid,40,09:00,62
2025-06-19,0,0,Bindu Sagar,Clear,37,12:00,5
2025-10-17,0,0,Mukteswar Temple,Rainy,40,06:00,44
2025-03-19,0,1,Bindu Sagar,Cloudy,29,15:00,268
2025-06-15,1,0,Lingaraj Temple,Cloudy,35,18:00,184
2025-03-04,0,0,Parsurameswara Temple,Cloudy,33,18:00,112
2025-12-16,0,0,Bindu Sagar,Clear,37,15:00,5
2025-04-27,1,0,Lingaraj Temple,Rainy,25,12:00,93
2025-04-01,0,0,Bindu Sagar,Cloudy,22,09:00,80
2025-04-15,0,0,Bindu Sagar,Rainy,34,12:00,5
2025-07-04,0,0,Rajarani Temple,Rainy,22,09:00,15
2025-07-22,0,0,Bindu Sagar,Cloudy,32,15:00,23
2025-01-28,0,0,Mukteswar Temple,Clear,24,15:00,26
2025-12-23,0,0,Mukteswar Temple,Clear,29,15:00,65
2025-03-28,0,0,Parsurameswara Temple,Rainy,35,15:00,5
2025-07-04,0,0,Rajarani Temple,Cloudy,39,06:00,117
2025-12-26,0,1,Parsurameswara Temple,Clear,33,06:00,457
2025-10-09,0,0,Parsurameswara Temple,Humid,33,18:00,100
2025-10-16,0,0,Lingaraj Temple,Humid,30,18:00,119
2025-12-16,0,0,Mukteswar Temple,Clear,22,12:00,87
2025-08-27,0,0,Lingaraj Temple,Rainy,34,15:00,5
2025-07-05,1,0,Mukteswar Temple,Humid,32,09:00,122
2025-06-07,1,0,Parsurameswara Temple,Rainy,29,18:00,184
2025-06-03,0,0,Parsurameswara Temple,Humid,26,09:00,69
2025-06-16,0,0,Lingaraj Temple,Rainy,29,09:00,5
2025-10-28,0,0,Parsurameswara Temple,Rainy,37,18:00,7
2025-08-09,1,0,Rajarani Temple,Humid,36,12:00,142
2025-12-09,0,0,Mukteswar Temple,Rainy,22,09:00,5
2025-09-28,1,0,Rajarani Temple,Rainy,39,15:00,58
2025-11-06,0,0,Mukteswar Temple,Rainy,32,18:00,47
2025-12-26,0,0,Lingaraj Temple,Rainy,36,09:00,5
2025-02-18,0,0,Mukteswar Temple,Humid,32,09:00,97
